date,MA1,MA2,Current Price,Buy/Sell,Shares,PnL,Cash,Value
2011-09-19,120.31,120.31,120.31,--,--,0.00,100000.00,100000.00
2011-09-20,120.17,120.17,120.17,--,--,0.00,100000.00,100000.00
2011-09-21,116.63,116.63,116.63,--,--,0.00,100000.00,100000.00
2011-09-22,112.86,112.86,112.86,--,--,0.00,100000.00,100000.00
2011-09-23,113.54,113.54,113.54,--,--,0.00,100000.00,100000.00
2011-09-26,116.24,116.24,116.24,--,--,0.00,100000.00,100000.00
2011-09-27,117.54,117.54,117.54,--,--,0.00,100000.00,100000.00
2011-09-28,115.14,115.14,115.14,--,--,0.00,100000.00,100000.00
2011-09-29,116.05,116.05,116.05,--,--,0.00,100000.00,100000.00
2011-09-30,113.15,113.15,113.15,--,--,0.00,100000.00,100000.00
2011-10-03,109.93,109.93,109.93,--,--,0.00,100000.00,100000.00
2011-10-04,112.34,112.34,112.34,--,--,0.00,100000.00,100000.00
2011-10-05,114.42,114.42,114.42,--,--,0.00,100000.00,100000.00
2011-10-06,116.49,116.49,116.49,--,--,0.00,100000.00,100000.00
2011-10-07,115.71,115.71,115.71,--,--,0.00,100000.00,100000.00
2011-10-10,119.58,119.58,119.58,--,--,0.00,100000.00,100000.00
2011-10-11,119.70,119.70,119.70,--,--,0.00,100000.00,100000.00
2011-10-12,120.75,120.75,120.75,--,--,0.00,100000.00,100000.00
2011-10-13,120.51,120.51,120.51,--,--,0.00,100000.00,100000.00
2011-10-14,122.57,122.57,122.57,--,--,0.00,100000.00,100000.00
2011-10-17,120.23,120.23,120.23,--,--,0.00,100000.00,100000.00
2011-10-18,122.58,122.58,122.58,--,--,0.00,100000.00,100000.00
2011-10-19,121.13,121.13,121.13,--,--,0.00,100000.00,100000.00
2011-10-20,121.66,121.66,121.66,--,--,0.00,100000.00,100000.00
2011-10-21,123.97,123.97,123.97,--,--,0.00,100000.00,100000.00
2011-10-24,125.49,125.49,125.49,--,--,0.00,100000.00,100000.00
2011-10-25,123.05,123.05,123.05,--,--,0.00,100000.00,100000.00
2011-10-26,124.30,124.30,124.30,--,--,0.00,100000.00,100000.00
2011-10-27,128.63,128.63,128.63,--,--,0.00,100000.00,100000.00
2011-10-28,128.60,128.60,128.60,--,--,0.00,100000.00,100000.00
2011-10-31,125.50,125.50,125.50,--,--,0.00,100000.00,100000.00
2011-11-01,122.00,122.00,122.00,--,--,0.00,100000.00,100000.00
2011-11-02,123.99,123.99,123.99,--,--,0.00,100000.00,100000.00
2011-11-03,126.25,126.25,126.25,--,--,0.00,100000.00,100000.00
2011-11-04,125.48,125.48,125.48,--,--,0.00,100000.00,100000.00
2011-11-07,126.26,126.26,126.26,--,--,0.00,100000.00,100000.00
2011-11-08,127.88,127.88,127.88,--,--,0.00,100000.00,100000.00
2011-11-09,123.16,123.16,123.16,--,--,0.00,100000.00,100000.00
2011-11-10,124.32,124.32,124.32,--,--,0.00,100000.00,100000.00
2011-11-11,126.66,126.66,126.66,--,--,0.00,100000.00,100000.00
2011-11-14,125.46,125.46,125.46,--,--,0.00,100000.00,100000.00
2011-11-15,126.08,126.08,126.08,--,--,0.00,100000.00,100000.00
2011-11-16,124.08,124.08,124.08,--,--,0.00,100000.00,100000.00
2011-11-17,122.11,122.11,122.11,--,--,0.00,100000.00,100000.00
2011-11-18,121.98,121.98,121.98,--,--,0.00,100000.00,100000.00
2011-11-21,119.66,119.66,119.66,--,--,0.00,100000.00,100000.00
2011-11-22,119.19,119.19,119.19,--,--,0.00,100000.00,100000.00
2011-11-23,116.56,116.56,116.56,--,--,0.00,100000.00,100000.00
2011-11-25,116.34,116.34,116.34,--,--,0.00,100000.00,100000.00
2011-11-28,119.71,119.71,119.71,--,--,0.00,100000.00,100000.00
2011-11-29,120.05,120.05,120.05,--,--,0.00,100000.00,100000.00
2011-11-30,124.99,124.99,124.99,--,--,0.00,100000.00,100000.00
2011-12-01,124.97,124.97,124.97,--,--,0.00,100000.00,100000.00
2011-12-02,124.86,124.86,124.86,--,--,0.00,100000.00,100000.00
2011-12-05,126.22,126.22,126.22,--,--,0.00,100000.00,100000.00
2011-12-06,126.26,126.26,126.26,--,--,0.00,100000.00,100000.00
2011-12-07,126.73,126.73,126.73,--,--,0.00,100000.00,100000.00
2011-12-08,123.95,123.95,123.95,--,--,0.00,100000.00,100000.00
2011-12-09,126.05,126.05,126.05,--,--,0.00,100000.00,100000.00
2011-12-12,124.21,124.21,124.21,--,--,0.00,100000.00,100000.00
2011-12-13,123.05,123.05,123.05,--,--,0.00,100000.00,100000.00
2011-12-14,121.74,121.74,121.74,--,--,0.00,100000.00,100000.00
2011-12-15,122.18,122.18,122.18,--,--,0.00,100000.00,100000.00
2011-12-16,121.59,121.59,121.59,--,--,0.00,100000.00,100000.00
2011-12-19,120.29,120.29,120.29,--,--,0.00,100000.00,100000.00
2011-12-20,123.93,123.93,123.93,--,--,0.00,100000.00,100000.00
2011-12-21,124.17,124.17,124.17,--,--,0.00,100000.00,100000.00
2011-12-22,125.27,125.27,125.27,--,--,0.00,100000.00,100000.00
2011-12-23,126.39,126.39,126.39,--,--,0.00,100000.00,100000.00
2011-12-27,126.49,126.49,126.49,--,--,0.00,100000.00,100000.00
2011-12-28,124.83,124.83,124.83,--,--,0.00,100000.00,100000.00
2011-12-29,126.12,126.12,126.12,--,--,0.00,100000.00,100000.00
2011-12-30,125.50,125.50,125.50,--,--,0.00,100000.00,100000.00
2012-01-03,127.50,127.50,127.50,--,--,0.00,100000.00,100000.00
2012-01-04,127.70,127.70,127.70,--,--,0.00,100000.00,100000.00
2012-01-05,128.04,128.04,128.04,--,--,0.00,100000.00,100000.00
2012-01-06,127.71,127.71,127.71,--,--,0.00,100000.00,100000.00
2012-01-09,128.02,128.02,128.02,--,--,0.00,100000.00,100000.00
2012-01-10,129.13,129.13,129.13,--,--,0.00,100000.00,100000.00
2012-01-11,129.20,129.20,129.20,--,--,0.00,100000.00,100000.00
2012-01-12,129.51,129.51,129.51,--,--,0.00,100000.00,100000.00
2012-01-13,128.84,128.84,128.84,--,--,0.00,100000.00,100000.00
2012-01-17,129.34,129.34,129.34,--,--,0.00,100000.00,100000.00
2012-01-18,130.77,130.77,130.77,--,--,0.00,100000.00,100000.00
2012-01-19,131.46,131.46,131.46,--,--,0.00,100000.00,100000.00
2012-01-20,131.95,131.95,131.95,--,--,0.00,100000.00,100000.00
2012-01-23,131.61,131.61,131.61,--,--,0.00,100000.00,100000.00
2012-01-24,131.46,131.46,131.46,--,--,0.00,100000.00,100000.00
2012-01-25,132.56,132.56,132.56,--,--,0.00,100000.00,100000.00
2012-01-26,131.88,131.88,131.88,--,--,0.00,100000.00,100000.00
2012-01-27,131.82,131.82,131.82,--,--,0.00,100000.00,100000.00
2012-01-30,131.37,131.37,131.37,--,--,0.00,100000.00,100000.00
2012-01-31,131.32,131.32,131.32,--,--,0.00,100000.00,100000.00
2012-02-01,132.47,132.47,132.47,--,--,0.00,100000.00,100000.00
2012-02-02,132.68,132.68,132.68,--,--,0.00,100000.00,100000.00
2012-02-03,134.54,134.54,134.54,--,--,0.00,100000.00,100000.00
2012-02-06,134.45,134.45,134.45,--,--,0.00,100000.00,100000.00
2012-02-07,134.79,134.79,134.79,--,--,0.00,100000.00,100000.00
2012-02-08,135.19,135.19,135.19,--,--,0.00,100000.00,100000.00
2012-02-09,135.36,135.36,135.36,--,--,0.00,100000.00,100000.00
2012-02-10,134.36,134.36,134.36,--,--,0.00,100000.00,100000.00
2012-02-13,135.36,135.36,135.36,--,--,0.00,100000.00,100000.00
2012-02-14,135.19,135.19,135.19,--,--,0.00,100000.00,100000.00
2012-02-15,134.56,134.56,134.56,--,--,0.00,100000.00,100000.00
2012-02-16,136.05,136.05,136.05,--,--,0.00,100000.00,100000.00
2012-02-17,136.41,136.41,136.41,--,--,0.00,100000.00,100000.00
2012-02-21,136.47,136.47,136.47,--,--,0.00,100000.00,100000.00
2012-02-22,136.03,136.03,136.03,--,--,0.00,100000.00,100000.00
2012-02-23,136.63,136.63,136.63,--,--,0.00,100000.00,100000.00
2012-02-24,136.93,136.93,136.93,--,--,0.00,100000.00,100000.00
2012-02-27,137.16,137.16,137.16,--,--,0.00,100000.00,100000.00
2012-02-28,137.56,137.56,137.56,--,--,0.00,100000.00,100000.00
2012-02-29,137.02,137.02,137.02,--,--,0.00,100000.00,100000.00
2012-03-01,137.73,137.73,137.73,--,--,0.00,100000.00,100000.00
2012-03-02,137.31,137.31,137.31,--,--,0.00,100000.00,100000.00
2012-03-05,136.75,136.75,136.75,--,--,0.00,100000.00,100000.00
2012-03-06,134.75,134.75,134.75,--,--,0.00,100000.00,100000.00
2012-03-07,135.69,135.69,135.69,--,--,0.00,100000.00,100000.00
2012-03-08,137.04,137.04,137.04,--,--,0.00,100000.00,100000.00
2012-03-09,137.57,137.57,137.57,--,--,0.00,100000.00,100000.00
2012-03-12,137.58,137.58,137.58,--,--,0.00,100000.00,100000.00
2012-03-13,140.06,140.06,140.06,--,--,0.00,100000.00,100000.00
2012-03-14,139.91,139.91,139.91,--,--,0.00,100000.00,100000.00
2012-03-15,140.72,140.72,140.72,--,--,0.00,100000.00,100000.00
2012-03-16,140.30,140.30,140.30,--,--,0.00,100000.00,100000.00
2012-03-19,140.85,140.85,140.85,--,--,0.00,100000.00,100000.00
2012-03-20,140.44,140.44,140.44,--,--,0.00,100000.00,100000.00
2012-03-21,140.21,140.21,140.21,--,--,0.00,100000.00,100000.00
2012-03-22,139.20,139.20,139.20,--,--,0.00,100000.00,100000.00
2012-03-23,139.65,139.65,139.65,--,--,0.00,100000.00,100000.00
2012-03-26,141.61,141.61,141.61,--,--,0.00,100000.00,100000.00
2012-03-27,141.17,141.17,141.17,--,--,0.00,100000.00,100000.00
2012-03-28,140.47,140.47,140.47,--,--,0.00,100000.00,100000.00
2012-03-29,140.23,140.23,140.23,--,--,0.00,100000.00,100000.00
2012-03-30,140.81,140.81,140.81,--,--,0.00,100000.00,100000.00
2012-04-02,141.84,141.84,141.84,--,--,0.00,100000.00,100000.00
2012-04-03,141.26,141.26,141.26,--,--,0.00,100000.00,100000.00
2012-04-04,139.86,139.86,139.86,--,--,0.00,100000.00,100000.00
2012-04-05,139.79,139.79,139.79,--,--,0.00,100000.00,100000.00
2012-04-09,138.22,138.22,138.22,--,--,0.00,100000.00,100000.00
2012-04-10,135.90,135.90,135.90,--,--,0.00,100000.00,100000.00
2012-04-11,137.00,137.00,137.00,--,--,0.00,100000.00,100000.00
2012-04-12,138.79,138.79,138.79,--,--,0.00,100000.00,100000.00
2012-04-13,137.14,137.14,137.14,--,--,0.00,100000.00,100000.00
2012-04-16,137.05,137.05,137.05,--,--,0.00,100000.00,100000.00
2012-04-17,139.08,139.08,139.08,--,--,0.00,100000.00,100000.00
2012-04-18,138.61,138.61,138.61,--,--,0.00,100000.00,100000.00
2012-04-19,137.72,137.72,137.72,--,--,0.00,100000.00,100000.00
2012-04-20,137.95,137.95,137.95,--,--,0.00,100000.00,100000.00
2012-04-23,136.79,136.79,136.79,--,--,0.00,100000.00,100000.00
2012-04-24,137.31,137.31,137.31,--,--,0.00,100000.00,100000.00
2012-04-25,139.19,139.19,139.19,--,--,0.00,100000.00,100000.00
2012-04-26,140.16,140.16,140.16,--,--,0.00,100000.00,100000.00
2012-04-27,140.39,140.39,140.39,--,--,0.00,100000.00,100000.00
2012-04-30,139.87,139.87,139.87,--,--,0.00,100000.00,100000.00
2012-05-01,140.74,140.74,140.74,--,--,0.00,100000.00,100000.00
2012-05-02,140.32,140.32,140.32,--,--,0.00,100000.00,100000.00
2012-05-03,139.25,139.25,139.25,--,--,0.00,100000.00,100000.00
2012-05-04,137.00,137.00,137.00,--,--,0.00,100000.00,100000.00
2012-05-07,137.10,137.10,137.10,--,--,0.00,100000.00,100000.00
2012-05-08,136.55,136.55,136.55,--,--,0.00,100000.00,100000.00
2012-05-09,135.74,135.74,135.74,--,--,0.00,100000.00,100000.00
2012-05-10,136.02,136.02,136.02,--,--,0.00,100000.00,100000.00
2012-05-11,135.61,135.61,135.61,--,--,0.00,100000.00,100000.00
2012-05-14,134.11,134.11,134.11,--,--,0.00,100000.00,100000.00
2012-05-15,133.34,133.34,133.34,--,--,0.00,100000.00,100000.00
2012-05-16,132.83,132.83,132.83,--,--,0.00,100000.00,100000.00
2012-05-17,130.86,130.86,130.86,--,--,0.00,100000.00,100000.00
2012-05-18,129.74,129.74,129.74,--,--,0.00,100000.00,100000.00
2012-05-21,131.97,131.97,131.97,--,--,0.00,100000.00,100000.00
2012-05-22,132.20,132.20,132.20,--,--,0.00,100000.00,100000.00
2012-05-23,132.27,132.27,132.27,--,--,0.00,100000.00,100000.00
2012-05-24,132.53,132.53,132.53,--,--,0.00,100000.00,100000.00
2012-05-25,132.10,132.10,132.10,--,--,0.00,100000.00,100000.00
2012-05-29,133.70,133.70,133.70,--,--,0.00,100000.00,100000.00
2012-05-30,131.76,131.76,131.76,--,--,0.00,100000.00,100000.00
2012-05-31,131.47,131.47,131.47,--,--,0.00,100000.00,100000.00
2012-06-01,128.16,128.16,128.16,--,--,0.00,100000.00,100000.00
2012-06-04,128.10,128.10,128.10,--,--,0.00,100000.00,100000.00
2012-06-05,129.07,129.07,129.07,--,--,0.00,100000.00,100000.00
2012-06-06,131.97,131.97,131.97,--,--,0.00,100000.00,100000.00
2012-06-07,132.05,132.05,132.05,--,--,0.00,100000.00,100000.00
2012-06-08,133.10,133.10,133.10,--,--,0.00,100000.00,100000.00
2012-06-11,131.41,131.41,131.41,--,--,0.00,100000.00,100000.00
2012-06-12,132.92,132.92,132.92,--,--,0.00,100000.00,100000.00
2012-06-13,132.07,132.07,132.07,--,--,0.00,100000.00,100000.00
2012-06-14,133.47,133.47,133.47,--,--,0.00,100000.00,100000.00
2012-06-15,134.14,134.14,134.14,--,--,0.00,100000.00,100000.00
2012-06-18,134.40,134.40,134.40,--,--,0.00,100000.00,100000.00
2012-06-19,135.70,135.70,135.70,--,--,0.00,100000.00,100000.00
2012-06-20,135.48,135.48,135.48,--,--,0.00,100000.00,100000.00
2012-06-21,132.44,132.44,132.44,--,--,0.00,100000.00,100000.00
2012-06-22,133.46,133.46,133.46,--,--,0.00,100000.00,100000.00
2012-06-25,131.32,131.32,131.32,--,--,0.00,100000.00,100000.00
2012-06-26,131.98,131.98,131.98,--,--,0.00,100000.00,100000.00
2012-06-27,133.17,133.17,133.17,--,--,0.00,100000.00,100000.00
2012-06-28,132.79,132.79,132.79,--,--,0.00,100000.00,100000.00
2012-06-29,136.10,136.10,136.10,--,--,0.00,100000.00,100000.00
2012-07-02,136.51,136.51,136.51,--,--,0.00,100000.00,100000.00
2012-07-03,137.41,137.41,137.41,--,--,0.00,100000.00,100000.00
2012-07-05,136.79,136.79,136.79,--,--,0.00,100000.00,100000.00
2012-07-06,135.49,135.49,135.49,--,--,0.00,100000.00,100000.00
2012-07-09,135.32,135.32,135.32,--,--,0.00,100000.00,100000.00
2012-07-10,134.14,134.14,134.14,--,--,0.00,100000.00,100000.00
2012-07-11,134.16,134.16,134.16,--,--,0.00,100000.00,100000.00
2012-07-12,133.51,133.51,133.51,--,--,0.00,100000.00,100000.00
2012-07-13,135.75,135.75,135.75,--,--,0.00,100000.00,100000.00
2012-07-16,135.43,135.43,135.43,--,--,0.00,100000.00,100000.00
2012-07-17,136.36,136.36,136.36,--,--,0.00,100000.00,100000.00
2012-07-18,137.37,137.37,137.37,--,--,0.00,100000.00,100000.00
2012-07-19,137.73,137.73,137.73,--,--,0.00,100000.00,100000.00
2012-07-20,136.47,136.47,136.47,--,--,0.00,100000.00,100000.00
2012-07-23,135.09,135.09,135.09,--,--,0.00,100000.00,100000.00
2012-07-24,133.93,133.93,133.93,--,--,0.00,100000.00,100000.00
2012-07-25,133.96,133.96,133.96,--,--,0.00,100000.00,100000.00
2012-07-26,136.17,136.17,136.17,--,--,0.00,100000.00,100000.00
2012-07-27,138.68,138.68,138.68,--,--,0.00,100000.00,100000.00
2012-07-30,138.68,138.68,138.68,--,--,0.00,100000.00,100000.00
2012-07-31,137.71,137.71,137.71,--,--,0.00,100000.00,100000.00
2012-08-01,137.59,137.59,137.59,--,--,0.00,100000.00,100000.00
2012-08-02,136.64,136.64,136.64,--,--,0.00,100000.00,100000.00
2012-08-03,139.35,139.35,139.35,--,--,0.00,100000.00,100000.00
2012-08-06,139.62,139.62,139.62,--,--,0.00,100000.00,100000.00
2012-08-07,140.32,140.32,140.32,--,--,0.00,100000.00,100000.00
2012-08-08,140.49,140.49,140.49,--,--,0.00,100000.00,100000.00
2012-08-09,140.61,140.61,140.61,--,--,0.00,100000.00,100000.00
2012-08-10,140.84,140.84,140.84,--,--,0.00,100000.00,100000.00
2012-08-13,140.77,140.77,140.77,--,--,0.00,100000.00,100000.00
2012-08-14,140.79,140.79,140.79,--,--,0.00,100000.00,100000.00
2012-08-15,140.95,140.95,140.95,--,--,0.00,100000.00,100000.00
2012-08-16,141.99,141.99,141.99,--,--,0.00,100000.00,100000.00
2012-08-17,142.18,142.18,142.18,--,--,0.00,100000.00,100000.00
2012-08-20,142.19,142.19,142.19,--,--,0.00,100000.00,100000.00
2012-08-21,141.76,141.76,141.76,--,--,0.00,100000.00,100000.00
2012-08-22,141.82,141.82,141.82,--,--,0.00,100000.00,100000.00
2012-08-23,140.66,140.66,140.66,--,--,0.00,100000.00,100000.00
2012-08-24,141.51,141.51,141.51,--,--,0.00,100000.00,100000.00
2012-08-27,141.54,141.54,141.54,--,--,0.00,100000.00,100000.00
2012-08-28,141.40,141.40,141.40,--,--,0.00,100000.00,100000.00
2012-08-29,141.51,141.51,141.51,--,--,0.00,100000.00,100000.00
2012-08-30,140.49,140.49,140.49,--,--,0.00,100000.00,100000.00
2012-08-31,141.16,141.16,141.16,--,--,0.00,100000.00,100000.00
2012-09-04,141.03,141.03,141.03,--,--,0.00,100000.00,100000.00
2012-09-05,140.91,140.91,140.91,--,--,0.00,100000.00,100000.00
2012-09-06,143.77,143.77,143.77,--,--,0.00,100000.00,100000.00
2012-09-07,144.33,144.33,144.33,--,--,0.00,100000.00,100000.00
2012-09-10,143.51,143.51,143.51,--,--,0.00,100000.00,100000.00
2012-09-11,143.91,143.91,143.91,--,--,0.00,100000.00,100000.00
2012-09-12,144.39,144.39,144.39,--,--,0.00,100000.00,100000.00
2012-09-13,146.59,146.59,146.59,--,--,0.00,100000.00,100000.00
2012-09-14,147.24,147.24,147.24,--,--,0.00,100000.00,100000.00
2012-09-17,146.74,146.74,146.74,--,--,0.00,100000.00,100000.00
2012-09-18,146.62,146.62,146.62,--,--,0.00,100000.00,100000.00
2012-09-19,146.70,146.70,146.70,--,--,0.00,100000.00,100000.00
2012-09-20,146.71,146.71,146.71,--,--,0.00,100000.00,100000.00
2012-09-21,145.87,145.87,145.87,--,--,0.00,100000.00,100000.00
2012-09-24,145.65,145.65,145.65,--,--,0.00,100000.00,100000.00
2012-09-25,144.10,144.10,144.10,--,--,0.00,100000.00,100000.00
2012-09-26,143.29,143.29,143.29,--,--,0.00,100000.00,100000.00
2012-09-27,144.64,144.64,144.64,--,--,0.00,100000.00,100000.00
2012-09-28,143.97,143.97,143.97,--,--,0.00,100000.00,100000.00
2012-10-01,144.35,144.35,144.35,--,--,0.00,100000.00,100000.00
2012-10-02,144.50,144.50,144.50,--,--,0.00,100000.00,100000.00
2012-10-03,145.09,145.09,145.09,--,--,0.00,100000.00,100000.00
2012-10-04,146.13,146.13,146.13,--,--,0.00,100000.00,100000.00
2012-10-05,146.14,146.14,146.14,--,--,0.00,100000.00,100000.00
2012-10-08,145.64,145.64,145.64,--,--,0.00,100000.00,100000.00
2012-10-09,144.20,144.20,144.20,--,--,0.00,100000.00,100000.00
2012-10-10,143.28,143.28,143.28,--,--,0.00,100000.00,100000.00
2012-10-11,143.36,143.36,143.36,--,--,0.00,100000.00,100000.00
2012-10-12,142.89,142.89,142.89,--,--,0.00,100000.00,100000.00
2012-10-15,144.08,144.08,144.08,--,--,0.00,100000.00,100000.00
2012-10-16,145.54,145.54,145.54,--,--,0.00,100000.00,100000.00
2012-10-17,146.20,146.20,146.20,--,--,0.00,100000.00,100000.00
2012-10-18,145.82,145.82,145.82,--,--,0.00,100000.00,100000.00
2012-10-19,143.39,143.39,143.39,--,--,0.00,100000.00,100000.00
2012-10-22,143.41,143.41,143.41,--,--,0.00,100000.00,100000.00
2012-10-23,141.42,141.42,141.42,--,--,0.00,100000.00,100000.00
2012-10-24,141.02,141.02,141.02,--,--,0.00,100000.00,100000.00
2012-10-25,141.43,141.43,141.43,--,--,0.00,100000.00,100000.00
2012-10-26,141.35,141.35,141.35,--,--,0.00,100000.00,100000.00
2012-10-31,141.35,141.35,141.35,--,--,0.00,100000.00,100000.00
2012-11-01,142.83,142.83,142.83,--,--,0.00,100000.00,100000.00
2012-11-02,141.56,141.56,141.56,--,--,0.00,100000.00,100000.00
2012-11-05,141.85,141.85,141.85,--,--,0.00,100000.00,100000.00
2012-11-06,142.96,142.96,142.96,--,--,0.00,100000.00,100000.00
2012-11-07,139.72,139.72,139.72,--,--,0.00,100000.00,100000.00
2012-11-08,138.04,138.04,138.04,--,--,0.00,100000.00,100000.00
2012-11-09,138.16,138.16,138.16,--,--,0.00,100000.00,100000.00
2012-11-12,138.27,138.27,138.27,--,--,0.00,100000.00,100000.00
2012-11-13,137.79,137.79,137.79,--,--,0.00,100000.00,100000.00
2012-11-14,135.93,135.93,135.93,--,--,0.00,100000.00,100000.00
2012-11-15,135.70,135.70,135.70,--,--,0.00,100000.00,100000.00
2012-11-16,136.37,136.37,136.37,--,--,0.00,100000.00,100000.00
2012-11-19,139.13,139.13,139.13,--,--,0.00,100000.00,100000.00
2012-11-20,139.19,139.19,139.19,--,--,0.00,100000.00,100000.00
2012-11-21,139.45,139.45,139.45,--,--,0.00,100000.00,100000.00
2012-11-23,141.35,141.35,141.35,--,--,0.00,100000.00,100000.00
2012-11-26,141.05,141.05,141.05,--,--,0.00,100000.00,100000.00
2012-11-27,140.33,140.33,140.33,--,--,0.00,100000.00,100000.00
2012-11-28,141.46,141.46,141.46,--,--,0.00,100000.00,100000.00
2012-11-29,142.12,142.12,142.12,--,--,0.00,100000.00,100000.00
2012-11-30,142.15,142.15,142.15,--,--,0.00,100000.00,100000.00
2012-12-03,141.45,141.45,141.45,--,--,0.00,100000.00,100000.00
2012-12-04,141.25,141.25,141.25,--,--,0.00,100000.00,100000.00
2012-12-05,141.50,141.50,141.50,--,--,0.00,100000.00,100000.00
2012-12-06,141.98,141.98,141.98,--,--,0.00,100000.00,100000.00
2012-12-07,142.41,142.41,142.41,--,--,0.00,100000.00,100000.00
2012-12-10,142.47,142.47,142.47,--,--,0.00,100000.00,100000.00
2012-12-11,143.44,143.44,143.44,--,--,0.00,100000.00,100000.00
2012-12-12,143.51,143.51,143.51,--,--,0.00,100000.00,100000.00
2012-12-13,142.63,142.63,142.63,--,--,0.00,100000.00,100000.00
2012-12-14,142.10,142.10,142.10,--,--,0.00,100000.00,100000.00
2012-12-17,143.77,143.77,143.77,--,--,0.00,100000.00,100000.00
2012-12-18,145.37,145.37,145.37,--,--,0.00,100000.00,100000.00
